embarque;ID;dt_saida;uf_remet;uf_dest;cliente;rota;km;qtd_eixos;frete_sem_icms;icms;frete_com_icms
006047;ASP6047;2026-03-19;SP;CE;Cliente A;SP x CE;2837;5;15961.22;0.0;15961.22
006048;ARJ6048;2026-03-25;RJ;MG;Cliente A;RJ x MG;443;6;3786.11;0.0;3786.11
006049;ARJ6049;2026-02-05;RJ;MG;Cliente A;RJ x MG;405;6;3405.15;238.36;3643.51
006050;APR6050;2025-11-06;PR;PE;Cliente A;PR x PE;2670;5;20597.33;2471.68;23069.01
006051;AMG6051;2025-09-27;MG;RS;Cliente A;MG x RS;1734;6;9936.76;695.57;10632.33
006052;EMG6052;2026-01-21;MG;RS;Cliente E;MG x RS;1704;9;18760.94;0.0;18760.94
006053;ASP6053;2025-09-15;SP;BA;Cliente A;SP x BA;1466;7;14058.31;1687.0;15745.31
006054;ASP6054;2025-11-07;SP;CE;Cliente A;SP x CE;2807;5;18792.5;2255.1;21047.6
006055;AGO6055;2025-08-18;GO;SP;Cliente A;GO x SP;919;9;10000.23;0.0;10000.23
006056;DSP6056;2025-12-08;SP;BA;Cliente D;SP x BA;1456;7;12146.21;1457.55;13603.76
006057;DMG6057;2025-09-19;MG;RS;Cliente D;MG x RS;1717;6;13387.45;0.0;13387.45
006058;DPR6058;2025-11-12;PR;PE;Cliente D;PR x PE;2659;7;23355.82;2802.7;26158.52
006059;ARJ6059;2025-11-28;RJ;MG;Cliente A;RJ x MG;454;7;4095.04;0.0;4095.04
006060;EPR6060;2025-10-12;PR;PE;Cliente E;PR x PE;2662;5;19142.61;0.0;19142.61
006061;ASP6061;2026-01-20;SP;BA;Cliente A;SP x BA;1462;6;9286.1;650.03;9936.13
006062;ASC6062;2025-11-25;SC;SP;Cliente A;SC x SP;714;5;5258.89;631.07;5889.96
006063;BRJ6063;2026-01-15;RJ;MG;Cliente B;RJ x MG;419;6;3455.85;0.0;3455.85
006064;ESP6064;2025-09-26;SP;BA;Cliente E;SP x BA;1459;9;13566.89;0.0;13566.89
006065;BSC6065;2026-03-23;SC;SP;Cliente B;SC x SP;678;6;5775.93;693.11;6469.04
006066;DSP6066;2026-01-04;SP;CE;Cliente D;SP x CE;2840;9;30265.56;0.0;30265.56
006067;ASC6067;2026-02-07;SC;SP;Cliente A;SC x SP;732;6;5744.0;0.0;5744.0
006068;CMG6068;2026-01-08;MG;RS;Cliente C;MG x RS;1731;9;16329.21;1959.51;18288.72
006069;AMG6069;2026-03-17;MG;RS;Cliente A;MG x RS;1703;7;13668.26;956.78;14625.04
006070;DGO6070;2025-11-13;GO;SP;Cliente D;GO x SP;900;9;8665.31;606.57;9271.88
006071;ARJ6071;2026-03-08;RJ;MG;Cliente A;RJ x MG;428;5;3117.09;374.05;3491.14
006072;ARJ6072;2025-12-16;RJ;MG;Cliente A;RJ x MG;458;9;4619.17;0.0;4619.17
006073;ASC6073;2025-11-20;SC;SP;Cliente A;SC x SP;689;7;5849.19;0.0;5849.19
006074;APR6074;2026-03-24;PR;PE;Cliente A;PR x PE;2673;9;20751.51;2490.18;23241.69
006075;CMS6075;2025-09-04;MS;MG;Cliente C;MS x MG;1004;9;10810.13;1297.22;12107.35
006076;ASP6076;2025-10-23;SP;CE;Cliente A;SP x CE;2793;9;22599.67;2711.96;25311.63
006077;ASP6077;2026-02-08;SP;BA;Cliente A;SP x BA;1440;5;11419.0;799.33;12218.33
006078;EMS6078;2025-10-03;MS;MG;Cliente E;MS x MG;1047;5;7024.35;491.7;7516.05
006079;APR6079;2025-12-23;PR;PE;Cliente A;PR x PE;2650;5;18852.57;2262.31;21114.88
006080;ASP6080;2025-10-19;SP;BA;Cliente A;SP x BA;1459;6;8113.5;973.62;9087.12
006081;AGO6081;2025-08-27;GO;SP;Cliente A;GO x SP;900;6;6836.78;0.0;6836.78
006082;AMS6082;2026-01-17;MS;MG;Cliente A;MS x MG;1021;9;7775.02;933.0;8708.02
006083;BSP6083;2026-01-10;SP;BA;Cliente B;SP x BA;1437;7;13535.7;947.5;14483.2
006084;BPR6084;2026-01-05;PR;PE;Cliente B;PR x PE;2666;7;24700.94;0.0;24700.94
006085;BSC6085;2025-10-22;SC;SP;Cliente B;SC x SP;702;7;6560.66;0.0;6560.66
006086;AMG6086;2025-10-02;MG;RS;Cliente A;MG x RS;1738;9;17616.25;0.0;17616.25
006087;AMS6087;2025-09-16;MS;MG;Cliente A;MS x MG;1030;7;8679.22;1041.51;9720.73
006088;CMG6088;2025-12-11;MG;RS;Cliente C;MG x RS;1717;5;13479.82;1617.58;15097.4
006089;BGO6089;2026-01-13;GO;SP;Cliente B;GO x SP;940;9;9811.41;686.8;10498.21
006090;AMG6090;2026-01-25;MG;RS;Cliente A;MG x RS;1696;9;13256.87;1590.82;14847.69
006091;ASP6091;2025-10-09;SP;CE;Cliente A;SP x CE;2802;9;20353.55;0.0;20353.55
006092;ASP6092;2025-09-19;SP;BA;Cliente A;SP x BA;1457;6;8778.79;0.0;8778.79
006093;EMG6093;2025-10-15;MG;RS;Cliente E;MG x RS;1688;6;12611.69;882.82;13494.51
006094;DPR6094;2025-08-14;PR;PE;Cliente D;PR x PE;2637;5;19115.28;0.0;19115.28
006095;ASC6095;2025-12-25;SC;SP;Cliente A;SC x SP;681;5;3704.66;259.33;3963.99
006096;ASC6096;2025-11-11;SC;SP;Cliente A;SC x SP;682;5;4968.34;0.0;4968.34
006097;APR6097;2025-08-22;PR;PE;Cliente A;PR x PE;2671;7;21338.98;0.0;21338.98
006098;CGO6098;2025-11-24;GO;SP;Cliente C;GO x SP;945;9;10258.52;1231.02;11489.54
006099;AMS6099;2026-03-31;MS;MG;Cliente A;MS x MG;1038;5;7638.55;534.7;8173.25
006100;AGO6100;2025-09-10;GO;SP;Cliente A;GO x SP;907;5;4910.69;0.0;4910.69
006101;AMS6101;2026-01-28;MS;MG;Cliente A;MS x MG;1013;7;7113.45;497.94;7611.39
006102;AGO6102;2025-12-18;GO;SP;Cliente A;GO x SP;923;5;4742.67;331.99;5074.66
006103;AMS6103;2025-12-31;MS;MG;Cliente A;MS x MG;1009;7;8902.44;623.17;9525.61
006104;BMG6104;2026-03-30;MG;RS;Cliente B;MG x RS;1726;9;16403.08;0.0;16403.08
006105;BSP6105;2026-03-16;SP;BA;Cliente B;SP x BA;1448;5;10228.45;1227.41;11455.86
006106;ASP6106;2026-02-12;SP;BA;Cliente A;SP x BA;1424;5;9705.99;679.42;10385.41
006107;BSC6107;2025-09-16;SC;SP;Cliente B;SC x SP;733;7;7047.32;845.68;7893.0
006108;ASC6108;2025-10-25;SC;SP;Cliente A;SC x SP;697;9;4951.05;594.13;5545.18
006109;DSC6109;2026-02-25;SC;SP;Cliente D;SC x SP;693;9;7304.96;511.35;7816.31
006110;AMG6110;2026-02-14;MG;RS;Cliente A;MG x RS;1702;5;12236.97;0.0;12236.97
006111;DSC6111;2025-09-18;SC;SP;Cliente D;SC x SP;701;5;5044.13;0.0;5044.13
006112;BSC6112;2025-09-22;SC;SP;Cliente B;SC x SP;723;5;4925.26;591.03;5516.29
006113;BSC6113;2026-01-09;SC;SP;Cliente B;SC x SP;682;5;5001.47;350.1;5351.57
006114;AMS6114;2025-08-24;MS;MG;Cliente A;MS x MG;1034;9;8316.25;582.14;8898.39
006115;DPR6115;2025-12-09;PR;PE;Cliente D;PR x PE;2651;7;24057.86;2886.94;26944.8
006116;BGO6116;2025-11-07;GO;SP;Cliente B;GO x SP;925;6;6853.47;0.0;6853.47
006117;EPR6117;2025-10-10;PR;PE;Cliente E;PR x PE;2675;5;20285.41;0.0;20285.41
006118;AMG6118;2025-10-12;MG;RS;Cliente A;MG x RS;1734;5;13320.85;0.0;13320.85
006119;DSC6119;2025-11-23;SC;SP;Cliente D;SC x SP;730;6;5837.34;700.48;6537.82
006120;BSP6120;2026-01-26;SP;CE;Cliente B;SP x CE;2835;6;21235.52;2548.26;23783.78
006121;ASP6121;2026-01-28;SP;CE;Cliente A;SP x CE;2827;9;27521.17;0.0;27521.17
006122;DPR6122;2025-09-02;PR;PE;Cliente D;PR x PE;2651;5;19010.31;0.0;19010.31
006123;ASC6123;2025-08-04;SC;SP;Cliente A;SC x SP;681;9;6671.22;0.0;6671.22
006124;ASP6124;2025-10-26;SP;BA;Cliente A;SP x BA;1440;7;12247.7;1469.72;13717.42
006125;DRJ6125;2026-03-12;RJ;MG;Cliente D;RJ x MG;424;9;4271.66;0.0;4271.66
006126;AMG6126;2025-11-20;MG;RS;Cliente A;MG x RS;1696;5;12829.5;0.0;12829.5
006127;ASC6127;2026-03-20;SC;SP;Cliente A;SC x SP;685;7;4403.22;528.39;4931.61
006128;ARJ6128;2025-12-14;RJ;MG;Cliente A;RJ x MG;413;6;3402.31;238.16;3640.47
006129;ARJ6129;2025-12-06;RJ;MG;Cliente A;RJ x MG;443;6;3246.75;389.61;3636.36
006130;BMG6130;2026-03-19;MG;RS;Cliente B;MG x RS;1724;5;13157.68;0.0;13157.68
006131;DPR6131;2026-03-30;PR;PE;Cliente D;PR x PE;2624;9;25346.07;0.0;25346.07
006132;CRJ6132;2025-11-25;RJ;MG;Cliente C;RJ x MG;448;7;4181.55;501.79;4683.34
006133;BSP6133;2025-12-25;SP;BA;Cliente B;SP x BA;1425;9;13805.1;1656.61;15461.71
006134;ARJ6134;2025-12-23;RJ;MG;Cliente A;RJ x MG;421;5;3196.2;0.0;3196.2
006135;CSC6135;2026-02-15;SC;SP;Cliente C;SC x SP;728;7;6732.46;0.0;6732.46
006136;AGO6136;2026-01-06;GO;SP;Cliente A;GO x SP;936;6;5896.82;0.0;5896.82
006137;DPR6137;2026-03-20;PR;PE;Cliente D;PR x PE;2660;5;19582.58;2349.91;21932.49
006138;ASP6138;2025-08-24;SP;CE;Cliente A;SP x CE;2826;6;21587.36;1511.12;23098.48
006139;ASP6139;2026-03-01;SP;CE;Cliente A;SP x CE;2813;7;19923.34;0.0;19923.34
006140;ASP6140;2025-11-28;SP;CE;Cliente A;SP x CE;2831;5;18740.24;0.0;18740.24
006141;DRJ6141;2025-08-24;RJ;MG;Cliente D;RJ x MG;458;7;4228.6;296.0;4524.6
006142;BSP6142;2025-12-28;SP;CE;Cliente B;SP x CE;2823;7;23924.63;0.0;23924.63
006143;ASP6143;2025-11-29;SP;BA;Cliente A;SP x BA;1453;6;9343.21;0.0;9343.21
006144;CGO6144;2026-01-10;GO;SP;Cliente C;GO x SP;937;5;7178.71;0.0;7178.71
006145;ARJ6145;2025-08-12;RJ;MG;Cliente A;RJ x MG;411;6;3124.06;218.68;3342.74
006146;APR6146;2025-11-03;PR;PE;Cliente A;PR x PE;2644;9;27773.03;0.0;27773.03
006147;APR6147;2026-01-15;PR;PE;Cliente A;PR x PE;2676;9;20321.32;2438.56;22759.88
006148;ASP6148;2025-11-22;SP;CE;Cliente A;SP x CE;2793;9;30004.73;3600.57;33605.3
006149;BSP6149;2025-10-10;SP;CE;Cliente B;SP x CE;2783;9;25960.78;3115.29;29076.07
006150;AGO6150;2025-08-13;GO;SP;Cliente A;GO x SP;937;5;6349.53;444.47;6794.0
006151;AGO6151;2026-02-25;GO;SP;Cliente A;GO x SP;933;6;7129.93;499.1;7629.03
006152;APR6152;2026-02-21;PR;PE;Cliente A;PR x PE;2628;7;17875.06;1251.25;19126.31
006153;AGO6153;2025-08-05;GO;SP;Cliente A;GO x SP;933;7;5715.71;0.0;5715.71
006154;BSP6154;2025-11-30;SP;BA;Cliente B;SP x BA;1457;5;10328.12;722.97;11051.09
006155;BGO6155;2026-02-03;GO;SP;Cliente B;GO x SP;956;5;7265.05;0.0;7265.05
006156;BMG6156;2025-08-16;MG;RS;Cliente B;MG x RS;1711;5;13564.54;0.0;13564.54
006157;ASP6157;2025-08-19;SP;BA;Cliente A;SP x BA;1441;9;13847.27;969.31;14816.58
006158;ASP6158;2025-11-25;SP;CE;Cliente A;SP x CE;2804;7;24018.7;0.0;24018.7
006159;AGO6159;2026-03-16;GO;SP;Cliente A;GO x SP;923;9;6832.17;819.86;7652.03
006160;ESP6160;2025-10-20;SP;BA;Cliente E;SP x BA;1430;9;14783.85;1034.87;15818.72
006161;DSC6161;2026-03-01;SC;SP;Cliente D;SC x SP;679;5;4437.39;532.49;4969.88
006162;AMS6162;2026-01-19;MS;MG;Cliente A;MS x MG;1036;7;6693.07;0.0;6693.07
006163;ERJ6163;2025-10-13;RJ;MG;Cliente E;RJ x MG;459;5;3360.17;235.21;3595.38
006164;ASC6164;2025-10-29;SC;SP;Cliente A;SC x SP;689;5;4799.25;0.0;4799.25
006165;CGO6165;2026-03-05;GO;SP;Cliente C;GO x SP;947;9;9580.85;0.0;9580.85
006166;CMS6166;2025-08-08;MS;MG;Cliente C;MS x MG;1037;7;8403.61;0.0;8403.61
006167;ASP6167;2025-09-16;SP;CE;Cliente A;SP x CE;2802;5;20366.73;1425.67;21792.4
006168;EMS6168;2025-11-05;MS;MG;Cliente E;MS x MG;1004;6;7827.15;939.26;8766.41
006169;ASP6169;2026-03-15;SP;CE;Cliente A;SP x CE;2829;5;14558.12;0.0;14558.12
006170;DSP6170;2026-01-17;SP;BA;Cliente D;SP x BA;1427;9;14021.75;0.0;14021.75
006171;AMG6171;2025-10-28;MG;RS;Cliente A;MG x RS;1695;5;11588.63;0.0;11588.63
006172;BMG6172;2025-11-10;MG;RS;Cliente B;MG x RS;1684;6;14732.9;1031.3;15764.2
006173;AGO6173;2026-02-12;GO;SP;Cliente A;GO x SP;945;6;5544.53;665.34;6209.87
006174;APR6174;2025-12-07;PR;PE;Cliente A;PR x PE;2644;6;21720.01;2606.4;24326.41
006175;EMS6175;2025-11-26;MS;MG;Cliente E;MS x MG;1026;5;8012.83;0.0;8012.83
006176;CRJ6176;2026-01-29;RJ;MG;Cliente C;RJ x MG;440;9;4525.53;543.06;5068.59
006177;ASP6177;2026-03-01;SP;CE;Cliente A;SP x CE;2790;9;27046.08;1893.23;28939.31
006178;ARJ6178;2025-12-13;RJ;MG;Cliente A;RJ x MG;441;9;3563.24;0.0;3563.24
006179;ASP6179;2025-08-20;SP;CE;Cliente A;SP x CE;2829;6;20594.89;0.0;20594.89
006180;ESP6180;2025-09-30;SP;CE;Cliente E;SP x CE;2802;6;20345.27;1424.17;21769.44
006181;CPR6181;2025-09-15;PR;PE;Cliente C;PR x PE;2668;5;20959.06;0.0;20959.06
006182;BSC6182;2026-03-10;SC;SP;Cliente B;SC x SP;718;7;6868.6;824.23;7692.83
006183;ASC6183;2026-02-20;SC;SP;Cliente A;SC x SP;703;7;4309.64;0.0;4309.64
006184;ASC6184;2025-08-15;SC;SP;Cliente A;SC x SP;703;5;3701.07;0.0;3701.07
006185;ARJ6185;2025-11-24;RJ;MG;Cliente A;RJ x MG;433;5;3150.84;378.1;3528.94
006186;BPR6186;2025-08-27;PR;PE;Cliente B;PR x PE;2623;9;27930.5;0.0;27930.5
006187;DSP6187;2025-08-11;SP;BA;Cliente D;SP x BA;1442;6;10823.03;1298.76;12121.79
006188;BPR6188;2026-03-23;PR;PE;Cliente B;PR x PE;2643;7;21919.33;2630.32;24549.65
006189;DMS6189;2025-08-17;MS;MG;Cliente D;MS x MG;1049;7;8790.54;0.0;8790.54
006190;AMG6190;2025-10-25;MG;RS;Cliente A;MG x RS;1698;6;10539.33;0.0;10539.33
006191;ARJ6191;2025-10-19;RJ;MG;Cliente A;RJ x MG;412;5;3043.17;213.02;3256.19
006192;DSP6192;2025-12-09;SP;BA;Cliente D;SP x BA;1451;9;14065.83;984.61;15050.44
006193;ASP6193;2025-09-19;SP;CE;Cliente A;SP x CE;2840;9;20292.92;1420.5;21713.42
006194;BMS6194;2026-03-13;MS;MG;Cliente B;MS x MG;1041;7;9564.36;1147.72;10712.08
006195;APR6195;2026-02-01;PR;PE;Cliente A;PR x PE;2631;6;20471.35;0.0;20471.35
006196;ASC6196;2026-02-09;SC;SP;Cliente A;SC x SP;714;7;6140.77;0.0;6140.77
006197;ASC6197;2025-11-03;SC;SP;Cliente A;SC x SP;732;6;5892.66;707.12;6599.78
006198;ERJ6198;2025-09-11;RJ;MG;Cliente E;RJ x MG;436;9;4648.15;0.0;4648.15
006199;AMG6199;2026-03-12;MG;RS;Cliente A;MG x RS;1685;9;13751.66;0.0;13751.66
006200;BSP6200;2026-02-12;SP;BA;Cliente B;SP x BA;1428;5;9495.45;664.68;10160.13
006201;BSP6201;2026-02-26;SP;BA;Cliente B;SP x BA;1470;6;11537.7;807.64;12345.34
006202;AMS6202;2025-09-30;MS;MG;Cliente A;MS x MG;1024;7;6306.39;756.77;7063.16
006203;ASP6203;2025-09-05;SP;CE;Cliente A;SP x CE;2830;6;18292.73;1280.49;19573.22
006204;ESC6204;2026-03-20;SC;SP;Cliente E;SC x SP;703;5;4587.65;321.14;4908.79
006205;CRJ6205;2025-09-30;RJ;MG;Cliente C;RJ x MG;411;7;3422.45;410.69;3833.14
006206;CSC6206;2026-03-03;SC;SP;Cliente C;SC x SP;679;5;5286.25;0.0;5286.25
006207;AGO6207;2025-10-14;GO;SP;Cliente A;GO x SP;941;6;7645.62;917.47;8563.09
006208;ASP6208;2025-08-18;SP;BA;Cliente A;SP x BA;1443;7;12664.56;0.0;12664.56
006209;BMS6209;2025-08-12;MS;MG;Cliente B;MS x MG;1023;9;10512.14;0.0;10512.14
006210;AMS6210;2025-10-28;MS;MG;Cliente A;MS x MG;1021;5;5720.92;686.51;6407.43
006211;AMS6211;2026-02-25;MS;MG;Cliente A;MS x MG;1021;7;9501.64;0.0;9501.64
006212;DSC6212;2026-02-24;SC;SP;Cliente D;SC x SP;715;6;5230.27;0.0;5230.27
006213;BMS6213;2025-08-12;MS;MG;Cliente B;MS x MG;1017;6;8565.68;0.0;8565.68
006214;AMG6214;2026-02-25;MG;RS;Cliente A;MG x RS;1714;9;16220.08;0.0;16220.08
006215;AMG6215;2026-03-10;MG;RS;Cliente A;MG x RS;1704;5;11624.1;0.0;11624.1
006216;BRJ6216;2026-03-18;RJ;MG;Cliente B;RJ x MG;451;9;4941.84;345.93;5287.77
006217;BSC6217;2026-02-22;SC;SP;Cliente B;SC x SP;698;7;5530.14;663.62;6193.76
006218;CPR6218;2025-10-22;PR;PE;Cliente C;PR x PE;2654;7;21125.33;2535.04;23660.37
006219;ASC6219;2025-09-12;SC;SP;Cliente A;SC x SP;713;9;6896.16;827.54;7723.7
006220;CRJ6220;2025-08-20;RJ;MG;Cliente C;RJ x MG;421;5;3127.42;218.92;3346.34
006221;APR6221;2025-08-09;PR;PE;Cliente A;PR x PE;2674;9;19442.37;0.0;19442.37
006222;ARJ6222;2026-01-02;RJ;MG;Cliente A;RJ x MG;464;5;2511.95;301.43;2813.38
006223;ESP6223;2025-12-14;SP;BA;Cliente E;SP x BA;1446;6;11143.93;1337.27;12481.2
006224;ASP6224;2025-12-06;SP;BA;Cliente A;SP x BA;1411;6;12175.66;1461.08;13636.74
006225;DSC6225;2026-01-25;SC;SP;Cliente D;SC x SP;688;7;6512.25;455.86;6968.11
006226;ASP6226;2026-03-19;SP;BA;Cliente A;SP x BA;1438;6;12611.81;0.0;12611.81
006227;ASP6227;2025-12-19;SP;CE;Cliente A;SP x CE;2825;5;21934.09;0.0;21934.09
006228;DPR6228;2025-12-09;PR;PE;Cliente D;PR x PE;2670;7;21853.54;0.0;21853.54
006229;AGO6229;2025-08-07;GO;SP;Cliente A;GO x SP;946;9;7283.87;509.87;7793.74
006230;CSP6230;2025-11-10;SP;BA;Cliente C;SP x BA;1414;7;13601.62;0.0;13601.62
006231;BRJ6231;2026-02-27;RJ;MG;Cliente B;RJ x MG;453;9;4596.44;551.57;5148.01
006232;DSP6232;2026-01-22;SP;BA;Cliente D;SP x BA;1438;9;14415.07;1009.05;15424.12
006233;EPR6233;2026-03-01;PR;PE;Cliente E;PR x PE;2647;5;17455.23;1221.87;18677.1
006234;ASP6234;2025-10-28;SP;CE;Cliente A;SP x CE;2839;6;22607.35;1582.51;24189.86
006235;AGO6235;2025-09-02;GO;SP;Cliente A;GO x SP;936;7;8336.66;583.57;8920.23
006236;CPR6236;2026-03-04;PR;PE;Cliente C;PR x PE;2630;7;24930.48;1745.13;26675.61
006237;AMS6237;2026-01-14;MS;MG;Cliente A;MS x MG;1059;7;7098.55;0.0;7098.55
006238;ASC6238;2026-01-12;SC;SP;Cliente A;SC x SP;731;7;6332.98;0.0;6332.98
006239;DRJ6239;2025-08-19;RJ;MG;Cliente D;RJ x MG;423;9;4394.25;527.31;4921.56
006240;BSC6240;2026-01-03;SC;SP;Cliente B;SC x SP;688;7;5528.62;0.0;5528.62
006241;ASP6241;2026-02-11;SP;CE;Cliente A;SP x CE;2805;6;17120.8;2054.5;19175.3
006242;AMG6242;2025-09-06;MG;RS;Cliente A;MG x RS;1710;6;9967.32;1196.08;11163.4
006243;APR6243;2026-03-28;PR;PE;Cliente A;PR x PE;2672;7;22307.25;0.0;22307.25
006244;BSC6244;2025-12-06;SC;SP;Cliente B;SC x SP;706;7;5515.89;0.0;5515.89
006245;BSC6245;2025-12-28;SC;SP;Cliente B;SC x SP;690;6;5301.28;636.15;5937.43
006246;CSC6246;2026-03-05;SC;SP;Cliente C;SC x SP;693;5;4552.27;546.27;5098.54
006247;ESP6247;2025-11-02;SP;CE;Cliente E;SP x CE;2828;9;25511.78;1785.82;27297.6
006248;AMG6248;2025-12-08;MG;RS;Cliente A;MG x RS;1686;9;17017.55;0.0;17017.55
006249;CSP6249;2025-11-09;SP;BA;Cliente C;SP x BA;1418;5;9889.31;0.0;9889.31
006250;CSP6250;2025-09-20;SP;CE;Cliente C;SP x CE;2828;6;22918.55;1604.3;24522.85
006251;AMS6251;2026-02-22;MS;MG;Cliente A;MS x MG;1007;7;8675.74;0.0;8675.74
006252;BPR6252;2025-09-11;PR;PE;Cliente B;PR x PE;2640;7;22431.99;0.0;22431.99
006253;ASP6253;2026-01-29;SP;CE;Cliente A;SP x CE;2812;9;27934.82;3352.18;31287.0
006254;DSP6254;2026-02-20;SP;BA;Cliente D;SP x BA;1436;7;13545.38;0.0;13545.38
006255;CMS6255;2025-10-07;MS;MG;Cliente C;MS x MG;1037;9;11386.29;0.0;11386.29
006256;EGO6256;2025-12-28;GO;SP;Cliente E;GO x SP;942;5;6723.7;0.0;6723.7
006257;ERJ6257;2025-08-09;RJ;MG;Cliente E;RJ x MG;413;6;3326.18;0.0;3326.18
006258;AMS6258;2025-11-16;MS;MG;Cliente A;MS x MG;1027;7;7018.99;842.28;7861.27
006259;EMS6259;2025-12-11;MS;MG;Cliente E;MS x MG;1044;6;7764.63;931.76;8696.39
006260;BRJ6260;2025-11-26;RJ;MG;Cliente B;RJ x MG;424;6;3657.72;438.93;4096.65
006261;DMG6261;2025-09-19;MG;RS;Cliente D;MG x RS;1721;9;18861.03;2263.32;21124.35
